'Executioner''s Axe', 'weapon', 'hands', 'one', 1, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Roak Battle Axe', 'weapon', 'hands', 'two', 12, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'The Axe of Racism', 'weapon', 'hands', 'one', 7, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'The Axe of Prissan', 'weapon', 'hands', 'two', 14, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Thornback Thorns', 'armour', 'torso', NULL, 1, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Thornback Shoulders', 'armour', 'shoulders', NULL, 2, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Boots of Grabby Skeleton Hands', 'armour', 'feet', NULL, 6, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Scorpi-Hat', 'armour', 'head', NULL, 7, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Demonic Shoulders', 'armour', 'shoulders', NULL, 8, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Simple Bow', 'weapon', 'hands', 'two', 3, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Cool Bow', 'weapon', 'hands', 'two', 4, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Emerald Bow', 'weapon', 'hands', 'two', 12, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'The Upper Up', 'weapon', 'hands', 'two', 9, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'The Bow of Evil', 'weapon', 'hands', 'two', 10, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Crappy, Rusty Chainmail Gloves', 'armour', 'hands', NULL, 1, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Chainmail Skirt', 'armour', 'legs', NULL, 2, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Fanmail', 'armour', 'torso', NULL, 3, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Daisy Chain Boots', 'armour', 'feet', NULL, 7, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Magic Chain Shirt of Magic Chains', 'armour', 'torso', NULL, 8, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Crappy Slippers', 'armour', 'feet', NULL, 1, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Brassmoon Gloves', 'armour', 'hands', NULL, 2, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Savage Leggings', 'armour', 'legs', NULL, 8, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Super Sexy Shirt for Super Sexy Characters that are Super Sexy uwu', 'armour', 'torso', NULL, 4, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Shadoflame Cloak', 'armour', 'torso', NULL, 10, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'An Old Crossbow', 'weapon', 'hands', 'two', 3, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Slick Crossbow', 'weapon', 'hands', 'two', 4, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Gnomish Crossbow', 'weapon', 'hands', 'two', 8, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Dwarven 8 Shot Mega-Bow Right', 'weapon', 'hands', 'one', 15, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Dwarven 8 Shot Mega-Bow Left', 'weapon', 'hands', 'one', 15, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Crappy Fur Shoulders', 'armour', 'shoulders', NULL, 1, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Cookie Claw Boots', 'armour', 'feet', NULL, 5, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Fake Mustache', 'armour', 'face', NULL, 8, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'GodBeast Fur AKA Stinky Fur', 'armour', 'legs', NULL, 4, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Grouchy Claw Gloves', 'armour', 'hands', NULL, 8, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'The Cutest Hammer', 'weapon', 'hands', 'one', 1, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Hammer', 'weapon', 'hands', 'one', 2, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'The Ruby Hammer', 'weapon', 'hands', 'two', 4, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'The Yuck Hammer', 'weapon', 'hands', 'two', 8, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'The Hammace', 'weapon', 'hands', 'two', 14, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Brassmoon Boots', 'armour', 'feet', NULL, 1, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Brassmoon "Helmet"', 'armour', 'head', NULL, 2, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Studded Leggings', 'armour', 'legs', NULL, 3, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Cool Bracers', 'armour', 'hands', NULL, 9, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Lightning Legs', 'armour', 'legs', NULL, 8, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Not a Rusty Pipe', 'weapon', 'hands', 'one', 1, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'The Herbert Mace', 'weapon', 'hands', 'one', 7, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Skull of Creepy Glowingness', 'weapon', 'hands', 'one', 6, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Rootball', 'weapon', 'hands', 'one', 7, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'The Orbit Mace', 'weapon', 'hands', 'one', 8, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Bladebeard Helmet', 'armour', 'head', NULL, 6, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Bladebeard Gauntlets', 'armour', 'hands', NULL, 12, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Brassmoon Breastplate', 'armour', 'torso', NULL, 3, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'The Ouch Helmet', 'armour', 'head', NULL, 4, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Chameleon Armour', 'armour', 'XXX', NULL, 20, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Almost Boots', 'armour', 'feet', NULL, 1, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
'Turtle Shell Shoulders', 'armour', 'shoulders', NULL, 7, NULL, 'common', NULL, 'JSON_BLOB', NULL, NULL,
